"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dallas Goedert","PHI","TE7","0.0","0.0","0.0","65.5","689.2","7.6","0.2","113.8"
"Jordan Addison","MIN","WR39","2.7","37.1","0.4","55.2","757.8","5.4","0.2","113.7"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","70.1","810.0","5.5","0.2","113.4"
"Jayden Reed","GB","WR40","12.0","86.6","0.1","63.1","757.9","4.8","0.4","113.3"
"Jakobi Meyers","JAC","WR41","4.7","23.0","0.1","70.6","814.5","5.1","0.8","113.1"
"Xavier Worthy","KC","WR42","15.5","99.3","0.9","55.2","721.6","4.2","0.2","112.1"
"Harold Fannin Jr.","CLE","TE9","0.0","0.0","0.0","77.7","801.1","5.4","0.8","110.9"
"Michael Pittman Jr.","PIT","WR43","0.0","0.0","0.0","80.5","803.7","5.0","0.3","109.5"
"Jordyn Tyson","NO","WR44","0.7","3.0","0.0","63.2","857.2","4.3","1.3","109.4"
"Michael Wilson","ARI","WR45","0.0","0.7","0.0","67.5","826.6","4.5","0.2","109.1"
"Chris Godwin Jr.","TB","WR46","0.3","0.3","0.0","67.8","774.2","5.2","0.3","108.0"
"Stefon Diggs","WAS","WR47","0.5","1.0","0.0","66.5","773.5","5.0","0.0","107.5"
"Travis Kelce","KC","TE10","0.0","0.0","0.0","74.9","784.5","4.8","0.3","106.9"
"Rashid Shaheed","SEA","WR48","13.4","88.9","0.3","49.9","754.3","3.8","0.8","106.7"
"George Kittle","SF","TE11","0.0","0.0","0.0","64.9","740.2","5.4","0.2","106.1"
"Wan'Dale Robinson","TEN","WR49","2.0","9.5","0.1","83.0","833.8","3.6","0.3","105.9"
"Makai Lemon","PHI","WR50","1.5","7.0","0.0","56.8","798.2","4.6","1.3","105.6"
"Mark Andrews","BAL","TE12","0.0","0.0","0.0","58.7","608.7","7.4","0.3","104.6"
"Calvin Ridley","TEN","WR51","4.5","27.5","0.6","48.1","785.3","3.3","0.2","104.3"
"Romeo Doubs","NE","WR52","0.0","0.0","0.0","56.7","735.1","5.2","0.3","104.2"
"Zach Charbonnet","SEA","RB42","130.5","533.0","5.6","19.8","147.0","0.5","0.7","103.3"
"Dalton Kincaid","BUF","TE13","0.0","0.0","0.0","57.1","701.6","5.5","0.2","102.6"
"Isaiah Likely","NYG","TE14","0.0","0.0","0.0","62.9","746.5","5.1","1.3","102.4"
"Matthew Golden","GB","WR53","8.2","40.9","0.1","55.4","746.0","3.9","0.4","101.7"
"Woody Marks","HOU","RB43","142.6","556.1","2.7","24.0","197.7","1.8","0.8","100.3"
"Khalil Shakir","BUF","WR54","1.1","5.5","0.0","72.4","748.4","4.2","0.8","99.4"
"Josh Downs","IND","WR55","1.4","4.3","0.0","75.9","736.7","4.3","0.8","98.4"
"John Metchie III","CAR","WR56","3.0","-4.0","0.0","65.0","619.0","6.0","0.0","97.9"
"Theo Wease Jr.","MIA","WR57","2.0","8.0","0.0","48.0","686.0","5.0","1.0","97.4"
"Hunter Henry","NE","TE15","0.0","0.0","0.0","56.3","651.7","5.4","0.1","97.4"
"Alvin Kamara","NO","RB44","127.9","492.2","2.8","35.1","243.2","1.3","0.8","96.3"
"Jalen Coker","CAR","WR58","0.0","0.0","0.0","57.6","699.0","4.6","0.8","95.8"
"Rashod Bateman","BAL","WR59","0.0","0.0","0.0","38.4","595.5","6.0","0.2","95.1"
"Isiah Pacheco","DET","RB45","139.2","581.7","3.5","21.1","136.2","0.6","0.8","94.9"
"Jake Ferguson","DAL","TE16","0.0","0.0","0.0","74.1","606.4","5.9","1.4","93.5"
"Tyrone Tracy Jr.","NYG","RB46","122.8","521.8","2.5","26.7","203.6","1.2","0.8","93.3"
"Tre Tucker","LV","WR60","11.2","52.9","0.2","50.1","633.7","3.8","0.1","91.9"
"Brenton Strange","JAC","TE17","0.0","0.0","0.0","60.0","658.4","4.3","0.2","91.4"
"Tank Dell","HOU","WR61","10.2","48.8","0.1","50.0","632.0","3.8","0.2","91.3"
"Tyjae Spears","TEN","RB47","92.1","367.6","2.9","45.9","305.5","1.2","0.7","90.5"
"Juwan Johnson","NO","TE18","0.0","0.0","0.0","64.5","727.0","3.3","1.3","89.6"
"Chris Rodriguez Jr.","JAC","RB48","133.8","553.1","5.1","5.4","42.5","0.1","0.6","89.4"
"Jayden Higgins","HOU","WR62","0.0","0.0","0.0","49.3","608.3","4.7","0.2","88.7"
"Jerry Jeudy","CLE","WR63","0.5","2.0","0.0","53.2","726.3","2.9","0.7","88.5"
"KC Concepcion","CLE","WR64","4.2","22.4","0.1","54.6","690.8","3.1","1.3","88.1"
"Jalen McMillan","TB","WR65","4.7","26.8","0.1","46.7","607.1","3.9","0.2","87.3"
"Jalen Nailor","LV","WR66","2.0","8.5","0.0","43.6","589.9","4.5","0.2","86.7"
"Brian Robinson Jr.","ATL","RB49","129.8","565.1","4.3","6.9","43.0","0.1","0.7","86.3"
"Jauan Jennings","MIN","WR67","0.0","0.0","0.0","48.7","557.1","5.2","0.7","85.3"
"De'Zhaun Stribling","SF","WR68","1.5","6.5","0.0","45.1","635.2","3.7","1.2","83.8"
"Adonai Mitchell","NYJ","WR69","2.2","11.2","0.1","41.5","610.8","3.5","0.5","83.0"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","629.5","3.4","0.2","82.8"
"Justice Hill","BAL","RB50","56.4","274.1","2.2","34.7","303.6","1.8","0.2","81.5"
"Antonio Williams","WAS","WR70","3.0","18.7","0.1","43.7","597.5","3.6","1.2","81.3"
"Pat Freiermuth","PIT","TE20","0.0","0.0","0.0","53.0","558.3","4.3","0.2","80.9"
"Kenyon Sadiq","NYJ","TE21","0.0","0.0","0.0","51.1","558.4","4.1","0.7","79.0"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","620.3","3.2","1.2","78.9"
"Terrance Ferguson","LAR","TE23","0.0","0.0","0.0","36.3","500.4","4.8","0.2","78.5"
"AJ Dillon","CAR","RB51","123.0","509.0","3.0","16.0","136.0","1.0","5.0","78.5"
"Samaje Perine","CIN","RB52","98.9","444.0","3.7","17.9","135.7","0.4","1.9","78.4"
"Tyler Allgeier","ARI","RB53","111.7","425.1","4.2","17.1","108.4","0.2","0.6","78.2"
"Cooper Kupp","SEA","WR71","0.5","1.5","0.0","47.4","583.9","3.4","0.7","77.7"
"T.J. Hockenson","MIN","TE24","0.0","0.0","0.0","63.9","574.1","3.3","0.2","76.7"
"Denzel Boston","CLE","WR72","1.0","5.0","0.0","47.8","596.6","2.9","0.8","75.9"
"AJ Barner","SEA","TE25","0.0","0.0","0.0","48.6","469.6","4.9","0.2","75.8"
"Jordan James","SF","RB54","100.1","407.1","3.1","16.1","148.0","0.7","1.2","75.6"
"Oronde Gadsden II","LAC","TE26","0.0","0.0","0.0","44.2","549.9","3.5","0.7","74.6"
"Omar Cooper Jr.","NYJ","WR73","2.1","12.5","0.1","46.3","550.9","3.3","1.2","74.1"
"Cade Otton","TB","TE27","0.0","0.0","0.0","55.2","557.9","3.1","0.1","74.1"
"Ja'Kobi Lane","BAL","WR74","1.5","8.5","0.0","31.9","506.2","3.9","0.6","73.8"
"Kayshon Boutte","NE","WR75","0.0","0.0","0.0","32.0","486.2","4.2","0.1","73.5"
"Germie Bernard","PIT","WR76","2.1","10.8","0.0","44.6","550.8","3.1","0.8","73.5"
"Braelon Allen","NYJ","RB55","97.3","391.3","4.0","12.9","93.8","0.7","1.7","73.1"
"Chig Okonkwo","WAS","TE28","0.0","0.0","0.0","52.5","555.4","2.7","0.1","71.7"
"Ty Johnson","BUF","RB56","51.6","218.4","2.0","24.9","251.0","2.1","0.2","71.4"
"Dylan Sampson","CLE","RB57","72.8","250.8","1.3","35.2","278.9","2.1","1.2","71.1"
"Travis Hunter","JAC","WR77","2.0","10.8","0.1","41.6","496.2","3.3","0.4","70.0"
"Xavier Legette","CAR","WR78","2.1","10.8","0.1","41.7","500.5","3.2","0.4","69.9"
"Darnell Mooney","NYG","WR79","1.1","6.0","0.0","35.9","526.5","2.7","0.1","69.5"
"Mike Gesicki","CIN","TE29","0.0","0.0","0.0","44.0","461.5","3.9","0.1","69.1"
"Bub Means","NO","WR80","1.0","6.0","0.0","38.0","518.0","3.0","1.0","68.4"
"Tyquan Thornton","KC","WR81","0.0","0.0","0.0","25.4","466.3","3.5","0.1","67.3"
"Emari Demercado","KC","RB58","76.8","426.4","1.7","16.3","118.9","0.8","1.7","66.2"
"Darius Slayton","NYG","WR82","1.6","8.6","0.0","34.8","512.7","2.5","0.7","65.8"
"Kaelon Black","SF","RB59","93.7","369.8","3.0","8.5","79.2","0.6","1.1","64.4"
"Tory Horton","SEA","WR83","0.5","3.0","0.0","29.8","401.0","4.2","0.6","64.1"
"Tank Bigsby","PHI","RB60","85.6","419.1","3.2","3.3","29.3","0.1","0.2","64.0"
"Malik Washington","MIA","WR84","13.4","80.2","0.7","43.5","390.5","2.3","0.8","63.5"
"Evan Engram","DEN","TE30","0.0","0.0","0.0","53.4","472.2","2.7","0.1","63.3"
"Troy Franklin","DEN","WR85","3.0","10.8","0.0","37.0","396.4","3.9","0.6","63.1"
"Mike Washington Jr.","LV","RB61","92.8","352.5","2.1","15.2","121.4","0.6","0.7","62.5"
"Gunnar Helm","TEN","TE31","0.0","0.0","0.0","48.9","443.1","3.1","0.2","62.5"
"Zachariah Branch","ATL","WR86","0.0","0.0","0.0","38.3","471.3","2.3","0.4","60.3"
"Isaac TeSlaa","DET","WR87","0.0","0.0","0.0","25.4","352.4","4.1","0.1","59.7"
"Devaughn Vele","NO","WR88","0.0","0.0","0.0","35.1","423.3","2.8","0.1","59.2"
"Keaton Mitchell","LAC","RB62","85.2","394.9","1.9","11.5","82.3","0.2","0.7","59.1"
"Malik Davis","DAL","RB63","79.6","373.1","2.7","6.6","52.3","0.1","0.1","59.1"
"Christian Kirk","SF","WR89","0.0","0.0","0.0","36.1","428.0","2.7","0.1","58.9"
"Hollywood Brown","PHI","WR90","0.0","0.0","0.0","31.3","389.1","3.3","0.1","58.3"
"Andrei Iosivas","CIN","WR91","2.5","11.1","0.0","31.6","394.2","2.9","0.1","57.9"
"Colby Parkinson","LAR","TE32","0.0","0.0","0.0","34.3","354.4","3.9","0.6","57.6"
"David Njoku","LAC","TE33","0.0","0.0","0.0","34.7","324.2","3.9","0.1","55.8"
"Adam Randall","BAL","RB64","55.1","281.6","2.0","10.3","103.9","1.1","0.6","55.8"
"Ryan Flournoy","DAL","WR92","2.2","12.4","0.1","34.0","383.8","2.7","0.4","55.4"
"Tre' Harris","LAC","WR93","0.0","0.0","0.0","34.5","408.4","2.5","0.4","54.9"
"Caleb Douglas","MIA","WR94","1.0","5.5","0.0","33.1","419.4","2.3","0.7","54.7"
"Dyami Brown","WAS","WR95","0.0","0.0","0.0","29.6","392.1","2.7","0.3","54.6"
"Ashton Dulin","IND","WR96","5.1","46.2","0.1","24.1","400.4","1.6","0.1","54.4"
"Chris Bell","MIA","WR97","0.0","0.0","0.0","34.2","448.9","1.7","0.4","54.1"
"Jalen Tolbert","MIA","WR98","0.0","0.0","0.0","35.4","441.7","1.8","0.3","54.1"
"Ted Hurst III","TB","WR99","1.0","6.5","0.0","28.9","390.0","2.6","0.6","53.8"
"Mason Taylor","NYJ","TE34","0.0","0.0","0.0","44.5","390.9","2.4","0.1","53.2"
"Treylon Burks","WAS","WR100","0.0","0.0","0.0","28.3","393.6","2.3","0.2","52.6"
"Chris Brooks","GB","RB65","72.7","323.8","1.3","15.4","107.5","0.3","0.6","51.6"
"Elic Ayomanor","TEN","WR101","0.0","0.0","0.0","23.9","323.5","3.2","0.0","51.5"
"Dawson Knox","BUF","TE35","0.0","0.0","0.0","28.7","329.0","2.9","0.1","50.3"
"Michael Mayer","LV","TE36","0.0","0.0","0.0","40.0","377.4","2.1","0.1","50.1"
"Kimani Vidal","LAC","RB66","62.2","251.0","1.6","11.9","104.3","0.7","0.1","49.1"
"Chimere Dike","TEN","WR102","10.1","33.6","0.3","26.1","252.9","3.3","0.6","48.7"
